Sexo,Edad,REdad,EstCiv,ZONA,Region,Prov,Dis,TVidaAño,Ingreso,T_Plazo,T_Micro,T_Convenios,T_TC,T_EI,Deu_TOTAL_SBS,Deu_Emp_SBS,Deu_Pequ_SBS,Deu_Micr_SBS,Deu_ConR_SBS,Deu_ConN_SBS,Deu_Hipo_SBS,Lin_TCre_SBS,Deu_TCre_SBS,Deu_Conv_SBS,Deu_PLD_SBS,Deu_Vehi_SBS,Deu_Otro_SBS,Deu_HipTrad_SBS,Deu_MiViv_SBS
Femenino,49.0,[45 - 50>,Casado,ZONA 7,LIMA,LIMA,SAN BORJA,16.64109589041096,1097.26,1.0,0.0,0.0,0.0,0.0,48.670777,,,,48.670777,,,873.586844,48.670777,,,,,,
Femenino,52.0,[50 - 55>,Soltero,ZONA 2,LIMA,LIMA,SAN MARTIN DE PORRES,21.427397260273974,1978.95,1.0,0.0,0.0,0.0,0.0,1666.841384,,,,1217.536827,449.304556,,9523.809523,1217.536827,,449.304556,,,,
Masculino,53.0,[50 - 55>,Soltero,ZONA NORTE,LAMBAYEQUE,CHICLAYO,CHICLAYO,15.016438356164384,2222.27,1.0,0.0,0.0,0.0,0.0,46628.705035,,,,15198.293936,31430.411099,,26271.181911,15198.293936,,31430.411099,,,,
Femenino,55.0,[55 - 60>,Soltero,ZONA NORTE,PIURA,PIURA,PIURA,20.232876712328768,1570.36,1.0,0.0,0.0,1.0,1.0,23.693045,,,,23.693045,,,24563.926002,23.693045,,,,,,
Masculino,52.0,[50 - 55>,Casado,ZONA 2,LIMA,LIMA,LOS OLIVOS,20.052054794520547,3072.68,1.0,0.0,0.0,0.0,0.0,486.810551,,,,486.810551,,,32399.71223,486.810551,,,,,,
Femenino,45.0,[45 - 50>,Casado,ZONA 6,LIMA,LIMA,JESUS MARIA,19.873972602739727,3586.5,1.0,0.0,0.0,0.0,0.0,3199.417608,,,,3199.417608,,,64585.662898,3199.417608,,,,,,
Femenino,56.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,19.186301369863013,1999.2,1.0,0.0,0.0,0.0,0.0,3365.721137,,,,2720.181569,645.539568,,11539.681397,3365.721137,,,,,,
Masculino,39.0,[35 - 40>,Soltero,ZONA 6,LIMA,LIMA,PUEBLO LIBRE,18.526027397260275,2982.98,1.0,0.0,0.0,0.0,0.0,11789.016786,,,,6916.317231,4872.699554,,7142.857142,6916.317231,,4872.699554,,,,
Femenino,44.0,[40 - 45>,Soltero,ZONA 1,LIMA,LIMA,CARABAYLLO,16.71780821917808,1687.2,1.0,0.0,0.0,0.0,0.0,308.691332,,,,308.691332,,,26995.889003,308.691332,,,,,,
Masculino,59.0,[55 - 60>,Casado,ZONA 6,LIMA,LIMA,SAN MIGUEL,17.58082191780822,2568.54,1.0,0.0,0.0,0.0,0.0,1185.207262,,,,1185.207262,,,44181.226447,1185.207262,,,,,,
Masculino,54.0,[50 - 55>,Soltero,ZONA 7,LIMA,LIMA,LA MOLINA,16.660273972602738,6195.51,1.0,0.0,0.0,0.0,0.0,6778.975676,,,,6778.975676,,,26721.479958,6778.975676,,,,,,
Femenino,54.0,[50 - 55>,Soltero,ZONA 4,LIMA,LIMA,BREÑA,16.567123287671233,1606.88,1.0,0.0,0.0,1.0,1.0,1488.502911,,,,1488.502911,,,28954.196642,1488.502911,,,,,,
Femenino,45.0,[45 - 50>,Soltero,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,16.257534246575343,6503.76,1.0,0.0,0.0,0.0,0.0,170410.578965,,,,13676.190476,11928.691332,144805.697156,59677.971908,13676.190476,,11928.691332,,,144805.697156,
Masculino,46.0,[45 - 50>,Casado,ZONA 6,LIMA,LIMA,JESUS MARIA,16.389041095890413,2481.96,1.0,0.0,0.0,0.0,0.0,2282.918807,,,,2282.918807,,,11408.016443,2282.918807,,,,,,
Masculino,50.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,MIRAFLORES,16.315068493150687,2270.46,1.0,0.0,0.0,1.0,1.0,252.12744,,,,252.12744,,,32441.024323,252.12744,,,,,,
